interaction_id,DRUG_NAME,TARGET_NAME,TARGET_CLASS,ACTION_TYPE,interaction_text
9666,pergolide,potassium voltage-gated channel subfamily h member 2,ion channel,,Drug: pergolide | Target: potassium voltage-gated channel subfamily h member 2 | Type: ion channel | Action: nan
9667,pergolide,5-hydroxytryptamine receptor 1a,gpcr,,Drug: pergolide | Target: 5-hydroxytryptamine receptor 1a | Type: gpcr | Action: nan
9668,pergolide,5-hydroxytryptamine receptor 2a,gpcr,,Drug: pergolide | Target: 5-hydroxytryptamine receptor 2a | Type: gpcr | Action: nan
9669,pergolide,5-hydroxytryptamine receptor 2b,gpcr,,Drug: pergolide | Target: 5-hydroxytryptamine receptor 2b | Type: gpcr | Action: nan
9670,pergolide,5-hydroxytryptamine receptor 2c,gpcr,,Drug: pergolide | Target: 5-hydroxytryptamine receptor 2c | Type: gpcr | Action: nan
9671,pergolide,5-hydroxytryptamine receptor 6,gpcr,,Drug: pergolide | Target: 5-hydroxytryptamine receptor 6 | Type: gpcr | Action: nan
9672,pergolide,alpha-1a adrenergic receptor,gpcr,,Drug: pergolide | Target: alpha-1a adrenergic receptor | Type: gpcr | Action: nan
9673,pergolide,alpha-2b adrenergic receptor,gpcr,,Drug: pergolide | Target: alpha-2b adrenergic receptor | Type: gpcr | Action: nan
9674,pergolide,d(3) dopamine receptor,gpcr,AGONIST,Drug: pergolide | Target: d(3) dopamine receptor | Type: gpcr | Action: AGONIST
9675,pergolide,d(1b) dopamine receptor,gpcr,AGONIST,Drug: pergolide | Target: d(1b) dopamine receptor | Type: gpcr | Action: AGONIST
9676,pergolide,5-hydroxytryptamine receptor 1b,gpcr,,Drug: pergolide | Target: 5-hydroxytryptamine receptor 1b | Type: gpcr | Action: nan
9677,pergolide,5-hydroxytryptamine receptor 1d,gpcr,,Drug: pergolide | Target: 5-hydroxytryptamine receptor 1d | Type: gpcr | Action: nan
9678,pergolide,alpha-2c adrenergic receptor,gpcr,,Drug: pergolide | Target: alpha-2c adrenergic receptor | Type: gpcr | Action: nan
9679,pergolide,cytochrome p450 2d6,enzyme,,Drug: pergolide | Target: cytochrome p450 2d6 | Type: enzyme | Action: nan
9680,pergolide,d(4) dopamine receptor,gpcr,AGONIST,Drug: pergolide | Target: d(4) dopamine receptor | Type: gpcr | Action: AGONIST
9681,pergolide,alpha-1d adrenergic receptor,gpcr,,Drug: pergolide | Target: alpha-1d adrenergic receptor | Type: gpcr | Action: nan
9682,pergolide,alpha-1b adrenergic receptor,gpcr,,Drug: pergolide | Target: alpha-1b adrenergic receptor | Type: gpcr | Action: nan
9683,pergolide,alpha-1b adrenergic receptor,gpcr,,Drug: pergolide | Target: alpha-1b adrenergic receptor | Type: gpcr | Action: nan
9684,pergolide,5-hydroxytryptamine receptor 1b,gpcr,,Drug: pergolide | Target: 5-hydroxytryptamine receptor 1b | Type: gpcr | Action: nan
9685,pergolide,alpha-1a adrenergic receptor,gpcr,,Drug: pergolide | Target: alpha-1a adrenergic receptor | Type: gpcr | Action: nan
9686,pergolide,d(2) dopamine receptor,gpcr,,Drug: pergolide | Target: d(2) dopamine receptor | Type: gpcr | Action: nan
9687,pergolide,5-hydroxytryptamine receptor 1a,gpcr,,Drug: pergolide | Target: 5-hydroxytryptamine receptor 1a | Type: gpcr | Action: nan
9688,pergolide,5-hydroxytryptamine receptor 7,gpcr,AGONIST,Drug: pergolide | Target: 5-hydroxytryptamine receptor 7 | Type: gpcr | Action: AGONIST
9689,pergolide,d(2) dopamine receptor,gpcr,,Drug: pergolide | Target: d(2) dopamine receptor | Type: gpcr | Action: nan
9690,pergolide,d(3) dopamine receptor,gpcr,,Drug: pergolide | Target: d(3) dopamine receptor | Type: gpcr | Action: nan
9691,pergolide,5-hydroxytryptamine receptor 6,gpcr,AGONIST,Drug: pergolide | Target: 5-hydroxytryptamine receptor 6 | Type: gpcr | Action: AGONIST
9692,pergolide,adrenergic receptor alpha-2,gpcr,,Drug: pergolide | Target: adrenergic receptor alpha-2 | Type: gpcr | Action: nan
9693,pergolide,dopamine receptor,gpcr,,Drug: pergolide | Target: dopamine receptor | Type: gpcr | Action: nan
9694,pergolide,dopamine receptor,gpcr,,Drug: pergolide | Target: dopamine receptor | Type: gpcr | Action: nan
9695,pergolide,cerebral cortex alpha adrenergic receptor,gpcr,,Drug: pergolide | Target: cerebral cortex alpha adrenergic receptor | Type: gpcr | Action: nan
9696,pergolide,d(2) dopamine receptor,gpcr,AGONIST,Drug: pergolide | Target: d(2) dopamine receptor | Type: gpcr | Action: AGONIST
9697,pergolide,d(1a) dopamine receptor,gpcr,AGONIST,Drug: pergolide | Target: d(1a) dopamine receptor | Type: gpcr | Action: AGONIST
9698,perhexiline,sigma non-opioid intracellular receptor 1,membrane receptor,,Drug: perhexiline | Target: sigma non-opioid intracellular receptor 1 | Type: membrane receptor | Action: nan
9699,perhexiline,potassium voltage-gated channel subfamily h member 2,ion channel,,Drug: perhexiline | Target: potassium voltage-gated channel subfamily h member 2 | Type: ion channel | Action: nan
9700,perhexiline,sodium-dependent noradrenaline transporter,transporter,,Drug: perhexiline | Target: sodium-dependent noradrenaline transporter | Type: transporter | Action: nan
9701,perhexiline,muscarinic acetylcholine receptor m1,gpcr,,Drug: perhexiline | Target: muscarinic acetylcholine receptor m1 | Type: gpcr | Action: nan
9702,perhexiline,muscarinic acetylcholine receptor m3,gpcr,,Drug: perhexiline | Target: muscarinic acetylcholine receptor m3 | Type: gpcr | Action: nan
9703,perhexiline,muscarinic acetylcholine receptor m4,gpcr,,Drug: perhexiline | Target: muscarinic acetylcholine receptor m4 | Type: gpcr | Action: nan
9704,perhexiline,muscarinic acetylcholine receptor m5,gpcr,,Drug: perhexiline | Target: muscarinic acetylcholine receptor m5 | Type: gpcr | Action: nan
9705,perhexiline,cytochrome p450 2d6,enzyme,,Drug: perhexiline | Target: cytochrome p450 2d6 | Type: enzyme | Action: nan
9706,perhexiline,voltage-dependent t-type calcium channel subunit alpha-1g,ion channel,,Drug: perhexiline | Target: voltage-dependent t-type calcium channel subunit alpha-1g | Type: ion channel | Action: nan
9707,perhexiline,voltage-dependent t-type calcium channel subunit alpha-1h,ion channel,,Drug: perhexiline | Target: voltage-dependent t-type calcium channel subunit alpha-1h | Type: ion channel | Action: nan
9708,perhexiline,voltage-dependent t-type calcium channel subunit alpha-1i,ion channel,,Drug: perhexiline | Target: voltage-dependent t-type calcium channel subunit alpha-1i | Type: ion channel | Action: nan
9709,perhexiline,"carnitine o-palmitoyltransferase 1, liver isoform",enzyme,,"Drug: perhexiline | Target: carnitine o-palmitoyltransferase 1, liver isoform | Type: enzyme | Action: nan"
9710,perhexiline,"carnitine o-palmitoyltransferase 2, mitochondrial",enzyme,,"Drug: perhexiline | Target: carnitine o-palmitoyltransferase 2, mitochondrial | Type: enzyme | Action: nan"
9711,perhexiline,epidermal growth factor receptor,kinase,,Drug: perhexiline | Target: epidermal growth factor receptor | Type: kinase | Action: nan
9712,perhexiline,tyrosine-protein kinase fyn,kinase,,Drug: perhexiline | Target: tyrosine-protein kinase fyn | Type: kinase | Action: nan
9713,perhexiline,"carnitine o-palmitoyltransferase 1, muscle isoform",enzyme,,"Drug: perhexiline | Target: carnitine o-palmitoyltransferase 1, muscle isoform | Type: enzyme | Action: nan"
9714,perhexiline,adrenergic receptor alpha-1,gpcr,,Drug: perhexiline | Target: adrenergic receptor alpha-1 | Type: gpcr | Action: nan
9715,perhexiline,carnitine palmitoyltransferase 2,enzyme,,Drug: perhexiline | Target: carnitine palmitoyltransferase 2 | Type: enzyme | Action: nan
9716,perhexiline,carnitine palmitoyltransferase 1a,enzyme,,Drug: perhexiline | Target: carnitine palmitoyltransferase 1a | Type: enzyme | Action: nan
9717,periciazine,d(1a) dopamine receptor,gpcr,ANTAGONIST,Drug: periciazine | Target: d(1a) dopamine receptor | Type: gpcr | Action: ANTAGONIST
9718,periciazine,androgen receptor,transcription factor,,Drug: periciazine | Target: androgen receptor | Type: transcription factor | Action: nan
9719,periciazine,acetylcholinesterase,enzyme,,Drug: periciazine | Target: acetylcholinesterase | Type: enzyme | Action: nan
9720,periciazine,cholinesterase,enzyme,,Drug: periciazine | Target: cholinesterase | Type: enzyme | Action: nan
9721,perindopril,angiotensin-converting enzyme,enzyme,INHIBITOR,Drug: perindopril | Target: angiotensin-converting enzyme | Type: enzyme | Action: INHIBITOR
9722,perlapine,d(2) dopamine receptor,gpcr,,Drug: perlapine | Target: d(2) dopamine receptor | Type: gpcr | Action: nan
9723,perlapine,5-hydroxytryptamine receptor 2a,gpcr,,Drug: perlapine | Target: 5-hydroxytryptamine receptor 2a | Type: gpcr | Action: nan
9724,perlapine,5-hydroxytryptamine receptor 6,gpcr,,Drug: perlapine | Target: 5-hydroxytryptamine receptor 6 | Type: gpcr | Action: nan
9725,perlapine,d(3) dopamine receptor,gpcr,,Drug: perlapine | Target: d(3) dopamine receptor | Type: gpcr | Action: nan
9726,perlapine,histamine h4 receptor,gpcr,,Drug: perlapine | Target: histamine h4 receptor | Type: gpcr | Action: nan
9727,perlapine,d(4) dopamine receptor,gpcr,,Drug: perlapine | Target: d(4) dopamine receptor | Type: gpcr | Action: nan
9728,perlapine,d(2) dopamine receptor,gpcr,,Drug: perlapine | Target: d(2) dopamine receptor | Type: gpcr | Action: nan
9729,perospirone,d(2) dopamine receptor,gpcr,ANTAGONIST,Drug: perospirone | Target: d(2) dopamine receptor | Type: gpcr | Action: ANTAGONIST
9730,perospirone,d(3) dopamine receptor,gpcr,ANTAGONIST,Drug: perospirone | Target: d(3) dopamine receptor | Type: gpcr | Action: ANTAGONIST
9731,perospirone,d(4) dopamine receptor,gpcr,ANTAGONIST,Drug: perospirone | Target: d(4) dopamine receptor | Type: gpcr | Action: ANTAGONIST
9732,perospirone,5-hydroxytryptamine receptor 2a,gpcr,ANTAGONIST,Drug: perospirone | Target: 5-hydroxytryptamine receptor 2a | Type: gpcr | Action: ANTAGONIST
9733,perphenazine,d(2) dopamine receptor,gpcr,ANTAGONIST,Drug: perphenazine | Target: d(2) dopamine receptor | Type: gpcr | Action: ANTAGONIST
9734,perphenazine,alpha-2a adrenergic receptor,gpcr,,Drug: perphenazine | Target: alpha-2a adrenergic receptor | Type: gpcr | Action: nan
9735,perphenazine,potassium voltage-gated channel subfamily h member 2,ion channel,,Drug: perphenazine | Target: potassium voltage-gated channel subfamily h member 2 | Type: ion channel | Action: nan
9736,perphenazine,5-hydroxytryptamine receptor 1a,gpcr,,Drug: perphenazine | Target: 5-hydroxytryptamine receptor 1a | Type: gpcr | Action: nan
9737,perphenazine,5-hydroxytryptamine receptor 2a,gpcr,,Drug: perphenazine | Target: 5-hydroxytryptamine receptor 2a | Type: gpcr | Action: nan
9738,perphenazine,5-hydroxytryptamine receptor 2c,gpcr,,Drug: perphenazine | Target: 5-hydroxytryptamine receptor 2c | Type: gpcr | Action: nan
9739,perphenazine,5-hydroxytryptamine receptor 6,gpcr,,Drug: perphenazine | Target: 5-hydroxytryptamine receptor 6 | Type: gpcr | Action: nan
9740,perphenazine,5-hydroxytryptamine receptor 7,gpcr,,Drug: perphenazine | Target: 5-hydroxytryptamine receptor 7 | Type: gpcr | Action: nan
9741,perphenazine,alpha-1a adrenergic receptor,gpcr,,Drug: perphenazine | Target: alpha-1a adrenergic receptor | Type: gpcr | Action: nan
9742,perphenazine,alpha-2b adrenergic receptor,gpcr,,Drug: perphenazine | Target: alpha-2b adrenergic receptor | Type: gpcr | Action: nan
9743,perphenazine,d(3) dopamine receptor,gpcr,,Drug: perphenazine | Target: d(3) dopamine receptor | Type: gpcr | Action: nan
9744,perphenazine,histamine h1 receptor,gpcr,,Drug: perphenazine | Target: histamine h1 receptor | Type: gpcr | Action: nan
9745,perphenazine,muscarinic acetylcholine receptor m3,gpcr,,Drug: perphenazine | Target: muscarinic acetylcholine receptor m3 | Type: gpcr | Action: nan
9746,perphenazine,aldehyde oxidase,enzyme,,Drug: perphenazine | Target: aldehyde oxidase | Type: enzyme | Action: nan
9747,perphenazine,alpha-2c adrenergic receptor,gpcr,,Drug: perphenazine | Target: alpha-2c adrenergic receptor | Type: gpcr | Action: nan
9748,perphenazine,d(4) dopamine receptor,gpcr,,Drug: perphenazine | Target: d(4) dopamine receptor | Type: gpcr | Action: nan
9749,perphenazine,5-hydroxytryptamine receptor 7,gpcr,ANTAGONIST,Drug: perphenazine | Target: 5-hydroxytryptamine receptor 7 | Type: gpcr | Action: ANTAGONIST
9750,perphenazine,5-hydroxytryptamine receptor 6,gpcr,ANTAGONIST,Drug: perphenazine | Target: 5-hydroxytryptamine receptor 6 | Type: gpcr | Action: ANTAGONIST
9751,perphenazine,pleiotropic abc efflux transporter of multiple drugs,transporter,,Drug: perphenazine | Target: pleiotropic abc efflux transporter of multiple drugs | Type: transporter | Action: nan
9752,phenacemide,sodium channel protein type 1 subunit alpha,ion channel,BLOCKER,Drug: phenacemide | Target: sodium channel protein type 1 subunit alpha | Type: ion channel | Action: BLOCKER
9753,phenacetin,prostaglandin g/h synthase 1,enzyme,,Drug: phenacetin | Target: prostaglandin g/h synthase 1 | Type: enzyme | Action: nan
9754,phenazocine,mu-type opioid receptor,gpcr,,Drug: phenazocine | Target: mu-type opioid receptor | Type: gpcr | Action: nan
9755,phenazocine,kappa-type opioid receptor,gpcr,,Drug: phenazocine | Target: kappa-type opioid receptor | Type: gpcr | Action: nan
9756,phenazocine,delta-type opioid receptor,gpcr,,Drug: phenazocine | Target: delta-type opioid receptor | Type: gpcr | Action: nan
9757,phenazocine,mu-type opioid receptor,gpcr,,Drug: phenazocine | Target: mu-type opioid receptor | Type: gpcr | Action: nan
9758,phenazocine,mu-type opioid receptor,gpcr,,Drug: phenazocine | Target: mu-type opioid receptor | Type: gpcr | Action: nan
9759,phenazopyridine,sodium channel alpha subunit,ion channel,BLOCKER,Drug: phenazopyridine | Target: sodium channel alpha subunit | Type: ion channel | Action: BLOCKER
9760,phenazopyridine,snake venom metalloproteinase bap1,enzyme,,Drug: phenazopyridine | Target: snake venom metalloproteinase bap1 | Type: enzyme | Action: nan
9761,phencyclidine,sigma non-opioid intracellular receptor 1,membrane receptor,,Drug: phencyclidine | Target: sigma non-opioid intracellular receptor 1 | Type: membrane receptor | Action: nan
9762,phencyclidine,lysosomal pro-x carboxypeptidase,enzyme,,Drug: phencyclidine | Target: lysosomal pro-x carboxypeptidase | Type: enzyme | Action: nan
9763,phencyclidine,"glutamate receptor ionotropic, nmda 1",ion channel,,"Drug: phencyclidine | Target: glutamate receptor ionotropic, nmda 1 | Type: ion channel | Action: nan"
9764,phencyclidine,sigma non-opioid intracellular receptor 1,membrane receptor,,Drug: phencyclidine | Target: sigma non-opioid intracellular receptor 1 | Type: membrane receptor | Action: nan
9765,phencyclidine,"glutamate receptor ionotropic, nmda 2c",ion channel,,"Drug: phencyclidine | Target: glutamate receptor ionotropic, nmda 2c | Type: ion channel | Action: nan"
9766,phencyclidine,cholinesterase,enzyme,,Drug: phencyclidine | Target: cholinesterase | Type: enzyme | Action: nan
9767,phencyclidine,acetylcholine receptor subunit alpha,ion channel,,Drug: phencyclidine | Target: acetylcholine receptor subunit alpha | Type: ion channel | Action: nan
9768,phencyclidine,glutamate [nmda] receptor,ion channel,,Drug: phencyclidine | Target: glutamate [nmda] receptor | Type: ion channel | Action: nan
9769,phencyclidine,glutamate nmda receptor,ion channel,,Drug: phencyclidine | Target: glutamate nmda receptor | Type: ion channel | Action: nan
9770,phencyclidine,glutamate nmda receptor; grin1/grin2b,ion channel,,Drug: phencyclidine | Target: glutamate nmda receptor; grin1/grin2b | Type: ion channel | Action: nan
9771,phencyclidine,glutamate nmda receptor; grin1/grin2a,ion channel,,Drug: phencyclidine | Target: glutamate nmda receptor; grin1/grin2a | Type: ion channel | Action: nan
9772,phencyclidine,muscarinic acetylcholine receptor,gpcr,,Drug: phencyclidine | Target: muscarinic acetylcholine receptor | Type: gpcr | Action: nan
9773,phendimetrazine,sodium-dependent noradrenaline transporter,transporter,INHIBITOR,Drug: phendimetrazine | Target: sodium-dependent noradrenaline transporter | Type: transporter | Action: INHIBITOR
9774,phendimetrazine,5-hydroxytryptamine receptor 1a,gpcr,,Drug: phendimetrazine | Target: 5-hydroxytryptamine receptor 1a | Type: gpcr | Action: nan
9775,phendimetrazine,sodium-dependent dopamine transporter,transporter,INHIBITOR,Drug: phendimetrazine | Target: sodium-dependent dopamine transporter | Type: transporter | Action: INHIBITOR
9776,phenelzine,cytochrome p450 3a4,enzyme,,Drug: phenelzine | Target: cytochrome p450 3a4 | Type: enzyme | Action: nan
9777,phenelzine,sodium-dependent dopamine transporter,transporter,,Drug: phenelzine | Target: sodium-dependent dopamine transporter | Type: transporter | Action: nan
9778,phenelzine,cytochrome p450 2d6,enzyme,,Drug: phenelzine | Target: cytochrome p450 2d6 | Type: enzyme | Action: nan
9779,phenelzine,cytochrome p450 2c8,enzyme,INHIBITOR,Drug: phenelzine | Target: cytochrome p450 2c8 | Type: enzyme | Action: INHIBITOR
9780,phenelzine,cytochrome p450 2c9,enzyme,,Drug: phenelzine | Target: cytochrome p450 2c9 | Type: enzyme | Action: nan
9781,phenelzine,amine oxidase [flavin-containing] b,enzyme,INHIBITOR,Drug: phenelzine | Target: amine oxidase [flavin-containing] b | Type: enzyme | Action: INHIBITOR
9782,phenelzine,amine oxidase [flavin-containing] a,enzyme,INHIBITOR,Drug: phenelzine | Target: amine oxidase [flavin-containing] a | Type: enzyme | Action: INHIBITOR
9783,phenelzine,cytochrome p450 2c19,enzyme,,Drug: phenelzine | Target: cytochrome p450 2c19 | Type: enzyme | Action: nan
9784,phenelzine,membrane primary amine oxidase,enzyme,,Drug: phenelzine | Target: membrane primary amine oxidase | Type: enzyme | Action: nan
9785,phenelzine,"indoleamine 2,3-dioxygenase 1",enzyme,,"Drug: phenelzine | Target: indoleamine 2,3-dioxygenase 1 | Type: enzyme | Action: nan"
9786,phenelzine,amine oxidase [flavin-containing] b,enzyme,,Drug: phenelzine | Target: amine oxidase [flavin-containing] b | Type: enzyme | Action: nan
9787,phenelzine,amine oxidase [flavin-containing] a,enzyme,,Drug: phenelzine | Target: amine oxidase [flavin-containing] a | Type: enzyme | Action: nan
9788,phenelzine,lysine-specific histone demethylase 1a,enzyme,,Drug: phenelzine | Target: lysine-specific histone demethylase 1a | Type: enzyme | Action: nan
9789,phenelzine,fad-linked sulfhydryl oxidase alr,enzyme,,Drug: phenelzine | Target: fad-linked sulfhydryl oxidase alr | Type: enzyme | Action: nan
9790,phenformin,5'-amp-activated protein kinase subunit beta-1,kinase,,Drug: phenformin | Target: 5'-amp-activated protein kinase subunit beta-1 | Type: kinase | Action: nan
9791,phenindamine,histamine h1 receptor,gpcr,,Drug: phenindamine | Target: histamine h1 receptor | Type: gpcr | Action: nan
9792,phenindione,vitamin k epoxide reductase complex subunit 1,enzyme,INHIBITOR,Drug: phenindione | Target: vitamin k epoxide reductase complex subunit 1 | Type: enzyme | Action: INHIBITOR
9793,phenindione,prothrombin,enzyme,,Drug: phenindione | Target: prothrombin | Type: enzyme | Action: nan
9794,phenindione,arachidonate 5-lipoxygenase,enzyme,,Drug: phenindione | Target: arachidonate 5-lipoxygenase | Type: enzyme | Action: nan
9795,pheniprazine,amine oxidase [flavin-containing] b,enzyme,INHIBITOR,Drug: pheniprazine | Target: amine oxidase [flavin-containing] b | Type: enzyme | Action: INHIBITOR
9796,pheniprazine,amine oxidase [flavin-containing] a,enzyme,INHIBITOR,Drug: pheniprazine | Target: amine oxidase [flavin-containing] a | Type: enzyme | Action: INHIBITOR
9797,pheniramine,histamine h1 receptor,gpcr,ANTAGONIST,Drug: pheniramine | Target: histamine h1 receptor | Type: gpcr | Action: ANTAGONIST
9798,pheniramine,histamine h4 receptor,gpcr,,Drug: pheniramine | Target: histamine h4 receptor | Type: gpcr | Action: nan
9799,pheniramine,"sodium channel alpha subunits; brain (types i, ii, iii)",ion channel,,"Drug: pheniramine | Target: sodium channel alpha subunits; brain (types i, ii, iii) | Type: ion channel | Action: nan"
9800,phenmetrazine,sodium-dependent noradrenaline transporter,transporter,INHIBITOR,Drug: phenmetrazine | Target: sodium-dependent noradrenaline transporter | Type: transporter | Action: INHIBITOR
9801,phenmetrazine,sodium-dependent dopamine transporter,transporter,INHIBITOR,Drug: phenmetrazine | Target: sodium-dependent dopamine transporter | Type: transporter | Action: INHIBITOR
9802,phenmetrazine,amine oxidase [flavin-containing] a,enzyme,,Drug: phenmetrazine | Target: amine oxidase [flavin-containing] a | Type: enzyme | Action: nan
9803,phenobarbital,nuclear receptor subfamily 1 group i member 3,nuclear hormone receptor,,Drug: phenobarbital | Target: nuclear receptor subfamily 1 group i member 3 | Type: nuclear hormone receptor | Action: nan
9804,phenobarbital,nuclear receptor subfamily 1 group i member 2,nuclear hormone receptor,,Drug: phenobarbital | Target: nuclear receptor subfamily 1 group i member 2 | Type: nuclear hormone receptor | Action: nan
9805,phenobarbital,gaba-a receptor alpha-1/beta-2/gamma-2,ion channel,,Drug: phenobarbital | Target: gaba-a receptor alpha-1/beta-2/gamma-2 | Type: ion channel | Action: nan
9806,phenobarbital,"sodium channel alpha subunits; brain (types i, ii, iii)",ion channel,,"Drug: phenobarbital | Target: sodium channel alpha subunits; brain (types i, ii, iii) | Type: ion channel | Action: nan"
9807,phenolphthalein,thymidylate synthase,enzyme,,Drug: phenolphthalein | Target: thymidylate synthase | Type: enzyme | Action: nan
9808,phenolphthalein,thymidylate synthase,enzyme,,Drug: phenolphthalein | Target: thymidylate synthase | Type: enzyme | Action: nan
9809,phenolphthalein,thymidylate synthase,enzyme,,Drug: phenolphthalein | Target: thymidylate synthase | Type: enzyme | Action: nan
9810,phenolphthalein,thymidylate synthase,enzyme,,Drug: phenolphthalein | Target: thymidylate synthase | Type: enzyme | Action: nan
9811,phenoxybenzamine,alpha-2a adrenergic receptor,gpcr,ANTAGONIST,Drug: phenoxybenzamine | Target: alpha-2a adrenergic receptor | Type: gpcr | Action: ANTAGONIST
9812,phenoxybenzamine,alpha-1a adrenergic receptor,gpcr,ANTAGONIST,Drug: phenoxybenzamine | Target: alpha-1a adrenergic receptor | Type: gpcr | Action: ANTAGONIST
9813,phenoxybenzamine,alpha-2b adrenergic receptor,gpcr,ANTAGONIST,Drug: phenoxybenzamine | Target: alpha-2b adrenergic receptor | Type: gpcr | Action: ANTAGONIST
9814,phenoxybenzamine,solute carrier family 22 member 1,transporter,,Drug: phenoxybenzamine | Target: solute carrier family 22 member 1 | Type: transporter | Action: nan
9815,phenoxybenzamine,dopamine receptor,gpcr,,Drug: phenoxybenzamine | Target: dopamine receptor | Type: gpcr | Action: nan
9816,phenoxybenzamine,adrenergic receptor alpha-1,gpcr,,Drug: phenoxybenzamine | Target: adrenergic receptor alpha-1 | Type: gpcr | Action: nan
9817,phenoxybenzamine,"sodium channel alpha subunits; brain (types i, ii, iii)",ion channel,,"Drug: phenoxybenzamine | Target: sodium channel alpha subunits; brain (types i, ii, iii) | Type: ion channel | Action: nan"
9818,phenprocoumon,pol polyprotein,enzyme,,Drug: phenprocoumon | Target: pol polyprotein | Type: enzyme | Action: nan
9819,phenprocoumon,vitamin k epoxide reductase complex subunit 1,unclassified,,Drug: phenprocoumon | Target: vitamin k epoxide reductase complex subunit 1 | Type: unclassified | Action: nan
9821,phenprocoumon,vitamin k epoxide reductase complex subunit 1,enzyme,INHIBITOR,Drug: phenprocoumon | Target: vitamin k epoxide reductase complex subunit 1 | Type: enzyme | Action: INHIBITOR
9822,phensuximide,voltage-gated t-type calcium channel,ion channel,BLOCKER,Drug: phensuximide | Target: voltage-gated t-type calcium channel | Type: ion channel | Action: BLOCKER
9823,phentermine,sodium-dependent noradrenaline transporter,transporter,INHIBITOR,Drug: phentermine | Target: sodium-dependent noradrenaline transporter | Type: transporter | Action: INHIBITOR
9824,phentermine,sodium-dependent dopamine transporter,transporter,,Drug: phentermine | Target: sodium-dependent dopamine transporter | Type: transporter | Action: nan
9825,phentolamine,alpha-2a adrenergic receptor,gpcr,ANTAGONIST,Drug: phentolamine | Target: alpha-2a adrenergic receptor | Type: gpcr | Action: ANTAGONIST
9826,phentolamine,sigma non-opioid intracellular receptor 1,membrane receptor,,Drug: phentolamine | Target: sigma non-opioid intracellular receptor 1 | Type: membrane receptor | Action: nan
9827,phentolamine,potassium voltage-gated channel subfamily h member 2,ion channel,,Drug: phentolamine | Target: potassium voltage-gated channel subfamily h member 2 | Type: ion channel | Action: nan
9828,phentolamine,5-hydroxytryptamine receptor 1a,gpcr,,Drug: phentolamine | Target: 5-hydroxytryptamine receptor 1a | Type: gpcr | Action: nan
9829,phentolamine,5-hydroxytryptamine receptor 2a,gpcr,,Drug: phentolamine | Target: 5-hydroxytryptamine receptor 2a | Type: gpcr | Action: nan
9830,phentolamine,5-hydroxytryptamine receptor 2b,gpcr,,Drug: phentolamine | Target: 5-hydroxytryptamine receptor 2b | Type: gpcr | Action: nan
9831,phentolamine,5-hydroxytryptamine receptor 2c,gpcr,,Drug: phentolamine | Target: 5-hydroxytryptamine receptor 2c | Type: gpcr | Action: nan
9832,phentolamine,alpha-1a adrenergic receptor,gpcr,ANTAGONIST,Drug: phentolamine | Target: alpha-1a adrenergic receptor | Type: gpcr | Action: ANTAGONIST
9833,phentolamine,alpha-2b adrenergic receptor,gpcr,ANTAGONIST,Drug: phentolamine | Target: alpha-2b adrenergic receptor | Type: gpcr | Action: ANTAGONIST
9834,phentolamine,histamine h1 receptor,gpcr,,Drug: phentolamine | Target: histamine h1 receptor | Type: gpcr | Action: nan
9835,phentolamine,alpha-2c adrenergic receptor,gpcr,ANTAGONIST,Drug: phentolamine | Target: alpha-2c adrenergic receptor | Type: gpcr | Action: ANTAGONIST
9836,phentolamine,cytochrome p450 2d6,enzyme,,Drug: phentolamine | Target: cytochrome p450 2d6 | Type: enzyme | Action: nan
9837,phentolamine,alpha-1d adrenergic receptor,gpcr,ANTAGONIST,Drug: phentolamine | Target: alpha-1d adrenergic receptor | Type: gpcr | Action: ANTAGONIST
9838,phentolamine,alpha-1b adrenergic receptor,gpcr,ANTAGONIST,Drug: phentolamine | Target: alpha-1b adrenergic receptor | Type: gpcr | Action: ANTAGONIST
9839,phentolamine,nischarin,membrane receptor,,Drug: phentolamine | Target: nischarin | Type: membrane receptor | Action: nan
9840,phentolamine,alpha-1b adrenergic receptor,gpcr,,Drug: phentolamine | Target: alpha-1b adrenergic receptor | Type: gpcr | Action: nan
9841,phentolamine,alpha-1a adrenergic receptor,gpcr,,Drug: phentolamine | Target: alpha-1a adrenergic receptor | Type: gpcr | Action: nan
9842,phentolamine,alpha-1d adrenergic receptor,gpcr,,Drug: phentolamine | Target: alpha-1d adrenergic receptor | Type: gpcr | Action: nan
9843,phentolamine,alpha-2a adrenergic receptor,gpcr,,Drug: phentolamine | Target: alpha-2a adrenergic receptor | Type: gpcr | Action: nan
9844,phentolamine,alpha-1a adrenergic receptor,gpcr,,Drug: phentolamine | Target: alpha-1a adrenergic receptor | Type: gpcr | Action: nan
9845,phentolamine,histamine h1 receptor,gpcr,,Drug: phentolamine | Target: histamine h1 receptor | Type: gpcr | Action: nan
9846,phentolamine,alpha-2a adrenergic receptor,gpcr,,Drug: phentolamine | Target: alpha-2a adrenergic receptor | Type: gpcr | Action: nan
9847,phentolamine,alpha-1b adrenergic receptor,gpcr,,Drug: phentolamine | Target: alpha-1b adrenergic receptor | Type: gpcr | Action: nan
9848,phentolamine,adrenergic receptor alpha-2,gpcr,,Drug: phentolamine | Target: adrenergic receptor alpha-2 | Type: gpcr | Action: nan
